Source, Target, Label
cartura, conselve, LineaE034
conselve, tribano, LineaE034
tribano, vanzo, LineaE034
vanzo, san pietro viminario, LineaE034
san pietro viminario, pernumia, LineaE034
pernumia, battaglia via maggiore, LineaE034
battaglia via maggiore, rivella, LineaE034
rivella, monselice autostazione, LineaE034
monselice autostazione, motta, LineaE034
motta, este, LineaE034
padova autostazione, padova piazzale boschetti, LineaE016
padova piazzale boschetti, padova ospedale, LineaE016
padova ospedale, padova pontecorvo via stoppato, LineaE016
padova pontecorvo via stoppato, padova bassanello, LineaE016
padova bassanello, mandriola, LineaE016
mandriola, ponte fabbrica, LineaE016
ponte fabbrica, mezzavia, LineaE016
mezzavia, battaglia via maggiore, LineaE016
battaglia via maggiore, rivella, LineaE016
rivella, monselice autostazione, LineaE016
monselice autostazione, san bortolo, LineaE016
san bortolo, bv. cavarzerane, LineaE016
bv. cavarzerane, solesino, LineaE016
solesino, ponte gorzone, LineaE016
ponte gorzone, stanghella zuccherificio, LineaE016
stanghella zuccherificio, boara pisani, LineaE016
boara pisani, rovigo, LineaE016
barbarano, ponte di barbarano, LineaE019
ponte di barbarano, lovolo, LineaE019
lovolo, ponte tezze, LineaE019
ponte tezze, via ' centro, LineaE019
via ' centro, zovon esterna strada provinciale 38, LineaE019
zovon esterna strada provinciale 38, carbonara, LineaE019
carbonara, bv. rovolon, LineaE019
bv. rovolon, rovolon, LineaE019
rovolon, bastia, LineaE019
bastia, pozzetto, LineaE019
pozzetto, cervarese santa croce, LineaE019
cervarese santa croce, fossona, LineaE019
fossona, san martino della vanezza, LineaE019
san martino della vanezza, san marco trambacche, LineaE019
san marco trambacche, saccolongo, LineaE019
saccolongo, magnaboschi, LineaE019
magnaboschi, selvazzano centro, LineaE019
selvazzano centro, tencarola, LineaE019
tencarola, padova porta san giovanni, LineaE019
padova porta san giovanni, padova corso milano, LineaE019
padova corso milano, padova teatro verdi, LineaE019
padova teatro verdi, padova corso garibaldi, LineaE019
padova corso garibaldi, padova giardini dell'arena, LineaE019
padova giardini dell'arena, padova stazione fs, LineaE019
padova stazione fs, padova autostazione, LineaE019
este, rivadolmo, LineaE043
rivadolmo, baone, LineaE043
baone, valle san giorgio, LineaE043
valle san giorgio, cinto euganeo, LineaE043
cinto euganeo, fontanafredda, LineaE043
fontanafredda, bv. fontanafredda, LineaE043
bv. fontanafredda, lozzo atestino, LineaE043
lozzo atestino, faedo, LineaE043
faedo, valnogaredo centro, LineaE043
valnogaredo centro, bv. valnogaredo, LineaE043
bv. valnogaredo, bv. cortela', LineaE043
bv. cortela', via ', LineaE043
via ', zovon esterna strada provinciale 38, LineaE043
zovon esterna strada provinciale 38, carbonara, LineaE043
carbonara, bv. rovolon, LineaE043
bv. rovolon, rovolon, LineaE043
rovolon, bastia, LineaE043
bastia, pozzetto, LineaE043
pozzetto, fossona municipio, LineaE043
fossona municipio, cervarese santa croce, LineaE043
cervarese santa croce, saccolongo, LineaE043
padova autostazione, padova fs j. avanzo, LineaE021
padova fs j. avanzo, crowne plaza, LineaE021
crowne plaza, limena municipio, LineaE021
limena municipio, vaccarino, LineaE021
vaccarino, curtarolo, LineaE021
curtarolo, pieve di curtarolo, LineaE021
pieve di curtarolo, campo san martino centro, LineaE021
campo san martino centro, campo san martino bivio, LineaE021
campo san martino bivio, paviola, LineaE021
paviola, san giorgio bosco, LineaE021
san giorgio bosco, facca, LineaE021
facca, cittadella bv. fs, LineaE021
cittadella bv. fs, cittadella porta treviso, LineaE021
cittadella porta treviso, belvedere di tezze, LineaE021
belvedere di tezze, cusinati, LineaE021
cusinati, rosa', LineaE021
rosa', bassano stazione fs, LineaE021
padova autostazione, padova piazzale boschetti, LineaE073
padova piazzale boschetti, padova ospedale, LineaE073
padova ospedale, padova istituto gramsci, LineaE073
padova istituto gramsci, padova stanga via venezia, LineaE073
padova stanga via venezia, padova centro giotto, LineaE073
padova centro giotto, padova z.i. peroni, LineaE073
padova z.i. peroni, noventa piazzale vill. san antonio, LineaE073
noventa piazzale vill. san antonio, noventa piazzale centro fitness, LineaE073
noventa piazzale centro fitness, noventa piazzale chiesa, LineaE073
noventa piazzale chiesa, noventa piazzale municipio, LineaE073
noventa piazzale municipio, noventana chiesa, LineaE073
noventana chiesa, noventana bar da marziano, LineaE073
noventana bar da marziano, stra, LineaE073
abano istituti, feriole, LineaE103
feriole, selvazzano centro, LineaE103
selvazzano centro, saccolongo, LineaE103
saccolongo, fossona, LineaE103
fossona, cervarese santa croce, LineaE103
cervarese santa croce, bastia, LineaE103
bastia, carbonara, LineaE103
carbonara, zovon esterna san 38, LineaE103
zovon esterna san 38, via ', LineaE103
padova autostazione, padova piazzale boschetti, LineeE010-E013V
padova piazzale boschetti, padova ospedale, LineeE010-E013V
padova ospedale, padova pontecorvo via stoppato, LineeE010-E013V
padova pontecorvo via stoppato, padova bassanello, LineeE010-E013V
padova bassanello, mandriola, LineeE010-E013V
mandriola, ponte fabbrica, LineeE010-E013V
ponte fabbrica, mezzavia, LineeE010-E013V
mezzavia, battaglia via maggiore, LineeE010-E013V
battaglia via maggiore, rivella, LineeE010-E013V
rivella, monselice autostazione, LineeE010-E013V
monselice autostazione, motta, LineeE010-E013V
motta, este, LineeE010-E013V
este, vighizzolo, LineeE010-E013V
vighizzolo, deserto d'este, LineeE010-E013V
deserto d'este, villa estense, LineeE010-E013V
villa estense, carmignano d'este, LineeE010-E013V
carmignano d'este, san urbano, LineeE010-E013V
san urbano, ca' morosini, LineeE010-E013V
ca' morosini, lendinara, LineeE010-E013V
padova autostazione, padova piazzale boschetti, LineeE011-E013V
padova piazzale boschetti, padova ospedale, LineeE011-E013V
padova ospedale, padova pontecorvo via stoppato, LineeE011-E013V
padova pontecorvo via stoppato, padova bassanello, LineeE011-E013V
padova bassanello, mandriola, LineeE011-E013V
mandriola, ponte fabbrica, LineeE011-E013V
ponte fabbrica, mezzavia, LineeE011-E013V
mezzavia, battaglia via maggiore, LineeE011-E013V
battaglia via maggiore, rivella, LineeE011-E013V
rivella, monselice autostazione, LineeE011-E013V
monselice autostazione, motta, LineeE011-E013V
motta, este, LineeE011-E013V
este, este manfredini strada provinciale 91, LineeE011-E013V
este manfredini strada provinciale 91, carceri, LineeE011-E013V
carceri, vighizzolo, LineeE011-E013V
este, este manfredini san 10, LineaE013_2
este manfredini san 10, ospedaletto euganeo, LineaE013_2
ospedaletto euganeo, san margherita d'adige, LineaE013_2
san margherita d'adige, megliadino san vitale, LineaE013_2
megliadino san vitale, casale di scodosia, LineaE013_2
casale di scodosia, montagnana istituto alberghiero, LineaE013_2
montagnana istituto alberghiero, montagnana viale fs, LineaE013_2
montagnana viale fs, montagnana pta legnago, LineaE013_2
montagnana pta legnago, montagnana pta vicenza, LineaE013_2
cavazzana centro, cavazzana trattoria, LineaE012-E013_V
cavazzana trattoria, lusia, LineaE012-E013_V
lusia, barbona municipio, LineaE012-E013_V
barbona municipio, barbona chiesa, LineaE012-E013_V
barbona chiesa, vescovana chiesa, LineaE012-E013_V
vescovana chiesa, granze, LineaE012-E013_V
granze, san elena, LineaE012-E013_V
san elena, deserto d'este, LineaE012-E013_V
deserto d'este, este, LineaE012-E013_V
este, motta, LineaE012-E013_V
motta, monselice autostazione, LineaE012-E013_V
monselice autostazione, rivella, LineaE012-E013_V
rivella, battaglia vmaggiore, LineaE012-E013_V
battaglia vmaggiore, mezzavia, LineaE012-E013_V
mezzavia, ponte fabbrica, LineaE012-E013_V
ponte fabbrica, mandriola, LineaE012-E013_V
mandriola, padova bassanello, LineaE012-E013_V
padova bassanello, padova pontecorvo vstoppato, LineaE012-E013_V
padova pontecorvo vstoppato, padova ospedale, LineaE012-E013_V
padova ospedale, padova piazzale boschetti, LineaE012-E013_V
padova piazzale boschetti, padova autostazione, LineaE012-E013_V
padova autostazione, padova piazzale boschetti, LineaE008-E013V
padova piazzale boschetti, padova ospedale, LineaE008-E013V
padova ospedale, padova pontecorvo via stoppato, LineaE008-E013V
padova pontecorvo via stoppato, padova bassanello, LineaE008-E013V
padova bassanello, mandriola, LineaE008-E013V
mandriola, ponte fabbrica, LineaE008-E013V
ponte fabbrica, mezzavia, LineaE008-E013V
mezzavia, battaglia via maggiore, LineaE008-E013V
battaglia via maggiore, rivella, LineaE008-E013V
rivella, monselice autostazione, LineaE008-E013V
monselice autostazione, motta, LineaE008-E013V
motta, este, LineaE008-E013V
este, este manfredini strada provinciale 91, LineaE008-E013V
este manfredini strada provinciale 91, palugana, LineaE008-E013V
palugana, ponso, LineaE008-E013V
ponso, bresega, LineaE008-E013V
bresega, valli mocenighe, LineaE008-E013V
valli mocenighe, piacenza d'adige, LineaE008-E013V
piacenza d'adige, masi, LineaE008-E013V
masi, badia autostazione, LineaE008-E013V
camisano, torre rossa, LineaE031
torre rossa, bevadoro, LineaE031
bevadoro, campodoro interna, LineaE031
campodoro interna, lissaro, LineaE031
lissaro, mestrino, LineaE031
mestrino, rubano municipio, LineaE031
rubano municipio, padova brentelle, LineaE031
padova brentelle, padova via vicenza, LineaE031
padova via vicenza, padova cso milano, LineaE031
padova cso milano, padova teatro verdi, LineaE031
padova teatro verdi, padova cso garibaldi, LineaE031
padova cso garibaldi, padova giardini dell'arena, LineaE031
padova giardini dell'arena, padova stazione fs, LineaE031
padova stazione fs, padova autostazione, LineaE031
padova autostazione, padova stazione fs, LineaE017
padova stazione fs, padova giardini dell'arena, LineaE017
padova giardini dell'arena, padova corso garibaldi, LineaE017
padova corso garibaldi, padova teatro verdi, LineaE017
padova teatro verdi, padova corso milano, LineaE017
padova corso milano, padova porta san giovanni, LineaE017
padova porta san giovanni, tencarola, LineaE017
tencarola, feriole, LineaE017
feriole, san biagio, LineaE017
san biagio, praglia, LineaE017
praglia, bresseo, LineaE017
bresseo, montemerlo ex cinema, LineaE017
montemerlo ex cinema, bv. treponti strada provinciale 20, LineaE017
bv. treponti strada provinciale 20, treponti di teolo, LineaE017
treponti di teolo, teolo, LineaE017
teolo, castelnuovo, LineaE017
castelnuovo, boccon centro, LineaE017
boccon centro, zovon, LineaE017
zovon, via ' centro, LineaE017
via ' centro, via ' di sotto, LineaE017
via ' di sotto, agugliaro, LineaE017
agugliaro, ponte alto, LineaE017
ponte alto, noventa vicentina, LineaE017
padova autostazione, padova stazione fs, LineaE080
padova stazione fs, padova giardini dell'arena, LineaE080
padova giardini dell'arena, padova corso garibaldi, LineaE080
padova corso garibaldi, padova teatro verdi, LineaE080
padova teatro verdi, padova corso milano, LineaE080
padova corso milano, padova via vicenza, LineaE080
padova via vicenza, padova brentelle, LineaE080
padova brentelle, rubano municipio, LineaE080
rubano municipio, mestrino, LineaE080
mestrino, arlesega, LineaE080
arlesega, grisignano di zocco hotel, LineaE080
grisignano di zocco hotel, barbano, LineaE080
barbano, bv. sarmego, LineaE080
bv. sarmego, vancimuglio, LineaE080
vancimuglio, torri di quartesolo c.c. piramidi, LineaE080
torri di quartesolo c.c. piramidi, torri di quartesolo centro, LineaE080
torri di quartesolo centro, setteca' c. palladio, LineaE080
setteca' c. palladio, vicenza stanga, LineaE080
vicenza stanga, vicenza museo, LineaE080
vicenza museo, vicenza autostazione, LineaE080
padova autostazione, padova fs j. avanzo, LineaE074
padova fs j. avanzo, limena municipio, LineaE074
limena municipio, limena interna, LineaE074
limena interna, taggi' di sopra interna, LineaE074
taggi' di sopra interna, villafranca padovana, LineaE074
villafranca padovana, bv. tremignon, LineaE074
bv. tremignon, bv. villafranca, LineaE074
bv. villafranca, vaccarino centro, LineaE074
vaccarino centro, tremignon, LineaE074
tremignon, piazzola sul brenta, LineaE074
piazzola sul brenta, presina, LineaE074
presina, isola due albere, LineaE074
isola due albere, grantorto, LineaE074
grantorto, carmignano di brenta via ospitale, LineaE074
carmignano di brenta via ospitale, carmignano di brenta, LineaE074
carmignano di brenta, cittadella porta treviso, LineaE074
padova autostazione, padova piazzale boschetti, LineaE006
padova piazzale boschetti, padova ospedale, LineaE006
padova ospedale, padova pontecorvo vstoppato, LineaE006
padova pontecorvo vstoppato, padova bassanello, LineaE006
padova bassanello, mandria chiesa, LineaE006
mandria chiesa, abano stazione fs, LineaE006
abano stazione fs, montegrotto terme, LineaE006
montegrotto terme, torreglia, LineaE006
torreglia, galzignano, LineaE006
galzignano, valsanzibio, LineaE006
valsanzibio, arqua' parcheggio, LineaE006
arqua' parcheggio, valle sgiorgio - bv arqua', LineaE006
valle sgiorgio - bv arqua', baone, LineaE006
baone, monselice autostazione, LineaE006
monselice autostazione, este, LineaE006
padova autostazione, padova fs j. avanzo, LineaE036
padova fs j. avanzo, padova arcella, LineaE036
padova arcella, castagnara, LineaE036
castagnara, reschigliano, LineaE036
reschigliano, san andrea di campodarsego, LineaE036
san andrea di campodarsego, fiumicello, LineaE036
fiumicello, bronzola tratt. scarin, LineaE036
bronzola tratt. scarin, bronzola, LineaE036
bronzola, san michele delle badesse, LineaE036
san michele delle badesse, borgoricco banca san .10, LineaE036
borgoricco banca san .10, borgoricco, LineaE036
borgoricco, straelle, LineaE036
straelle, massanzago, LineaE036
massanzago, fossalta, LineaE036
fossalta, piombino dese, LineaE036
piombino dese, trebaseleghe, LineaE036
mussolente municipio, casoni, LineaE024
casoni, marini, LineaE024
marini, cassola, LineaE024
cassola, selle smarco, LineaE024
selle smarco, rossano agip, LineaE024
rossano agip, rossano, LineaE024
rossano, rossano via san giustina, LineaE024
rossano via san giustina, mottinello, LineaE024
mottinello, galliera statue, LineaE024
galliera statue, corte cittadella, LineaE024
corte cittadella, cittadella consorzio, LineaE024
cittadella consorzio, cittadella terminal, LineaE024
montagnana porta vicenza, montagnana porta legnago, LineeE013Z-E013V
montagnana porta legnago, montagnana viale fs, LineeE013Z-E013V
montagnana viale fs, montagnana istituto alberghiero, LineeE013Z-E013V
montagnana istituto alberghiero, montagnana porta padova, LineeE013Z-E013V
montagnana porta padova, montagnana san zeno, LineeE013Z-E013V
montagnana san zeno, megliadino san fidenzio, LineeE013Z-E013V
megliadino san fidenzio, saletto di montagnana, LineeE013Z-E013V
saletto di montagnana, ospedaletto euganeo, LineeE013Z-E013V
ospedaletto euganeo, este manfredini, LineeE013Z-E013V
este manfredini, este, LineeE013Z-E013V
este, motta, LineeE013Z-E013V
motta, monselice autostazione, LineeE013Z-E013V
monselice autostazione, rivella, LineeE013Z-E013V
rivella, battaglia via maggiore, LineeE013Z-E013V
battaglia via maggiore, mezzavia, LineeE013Z-E013V
mezzavia, ponte fabbrica, LineeE013Z-E013V
ponte fabbrica, mandriola, LineeE013Z-E013V
mandriola, padova bassanello, LineeE013Z-E013V
padova bassanello, padova pontecorvo via stoppato, LineeE013Z-E013V
padova pontecorvo via stoppato, padova ospedale, LineeE013Z-E013V
padova ospedale, padova piazzale boschetti, LineeE013Z-E013V
padova piazzale boschetti, padova prato della valle, LineeE013Z-E013V
padova prato della valle, padova riv tito livio, LineeE013Z-E013V
padova riv tito livio, padova riv ponti romani, LineeE013Z-E013V
padova riv ponti romani, padova giardini dell'arena, LineeE013Z-E013V
padova giardini dell'arena, padova stazione fs, LineeE013Z-E013V
padova stazione fs, padova autostazione, LineeE013Z-E013V
padova autostazione, padova stazione fs, LineaE062
padova stazione fs, padova giardini dell'arena, LineaE062
padova giardini dell'arena, padova riv ponti romani, LineaE062
padova riv ponti romani, padova riv tito livio, LineaE062
padova riv tito livio, padova prato della valle, LineaE062
padova prato della valle, padova piazzale boschetti, LineaE062
padova piazzale boschetti, padova ospedale, LineaE062
padova ospedale, padova pontecorvo via stoppato, LineaE062
padova pontecorvo via stoppato, padova istituto gramsci, LineaE062
padova istituto gramsci, padova bassanello, LineaE062
padova bassanello, padova guizza, LineaE062
padova guizza, albignasego, LineaE062
albignasego, carpanedo, LineaE062
carpanedo, masera' interna, LineaE062
masera' interna, bertipaglia, LineaE062
bertipaglia, masera', LineaE062
masera', cagnola, LineaE062
cagnola, cartura, LineaE062
cartura, conselve, LineaE062
conselve, olmo, LineaE062
olmo, bagnoli municipio, LineaE062
bagnoli municipio, bagnoli di sopra, LineaE062
bagnoli di sopra, san siro, LineaE062
san siro, anguillara, LineaE062
anguillara, borgoforte, LineaE062
borgoforte, agna, LineaE062
padova autostazione, padova piazzale boschetti, LineeE001-E604
padova piazzale boschetti, padova ospedale, LineeE001-E604
padova ospedale, padova pontecorvo via facciolati, LineeE001-E604
padova pontecorvo via facciolati, voltabarozzo, LineeE001-E604
voltabarozzo, roncaglia, LineeE001-E604
roncaglia, ponte san nicolo', LineeE001-E604
ponte san nicolo', legnaro, LineeE001-E604
legnaro, vigorovea, LineeE001-E604
vigorovea, bv. brugine, LineeE001-E604
bv. brugine, piove di sacco autostazione, LineeE001-E604
piove di sacco autostazione, piove di sacco ospedale, LineeE001-E604
piove di sacco ospedale, arzerello chiesa, LineeE001-E604
arzerello chiesa, pontelongo, LineeE001-E604
pontelongo, bv. correzzola, LineeE001-E604
bv. correzzola, villa del bosco, LineeE001-E604
villa del bosco, candiana, LineeE001-E604
candiana, correzzola, LineeE001-E604
correzzola, concadalbero, LineeE001-E604
concadalbero, monsole civ. 25/27, LineeE001-E604
monsole civ. 25/27, pegolotte bar, LineeE001-E604
pegolotte bar, cona, LineeE001-E604
cona, rottanova, LineeE001-E604
rottanova, agna, LineeE001-E604
agna, cavarzere autostazione, LineeE001-E604
cavarzere autostazione, adria autostazione, LineeE001-E604
adria autostazione, ariano ferrarese, LineeE001-E604
ariano ferrarese, codigoro, LineeE001-E604
padova autostazione, padova stazione fs, LineaE040
padova stazione fs, padova via giotto, LineaE040
padova via giotto, padova piazzale mazzini, LineaE040
padova piazzale mazzini, monta', LineaE040
monta', ponterotto fornace, LineaE040
ponterotto fornace, taggi' di sotto, LineaE040
taggi' di sotto, taggi' di sopra, LineaE040
taggi' di sopra, villafranca padovana, LineaE040
villafranca padovana, tremignon, LineaE040
tremignon, campodoro, LineaE040
campodoro, bevadoro, LineaE040
bevadoro, torre rossa, LineaE040
torre rossa, camisano, LineaE040
camisano, piazzola sul brenta, LineaE040
piazzola sul brenta, grossa, LineaE040
grossa, bv. isola carturo, LineaE040
bv. isola carturo, gazzo, LineaE040
gazzo, barche, LineaE040
barche, san pietro in gu', LineaE040
abano istituti, tencarola, LineaE105
tencarola, caselle (liceo g galilei), LineaE105
caselle (liceo g galilei), sarmeola cc le brentelle, LineaE105
sarmeola cc le brentelle, rubano municipio, LineaE105
rubano municipio, mestrino, LineaE105
mestrino, lissaro, LineaE105
lissaro, campodoro, LineaE105
campodoro, villafranca bar, LineaE105
villafranca bar, piazzola sul brenta, LineaE105
padova autostazione, padova piazzale boschetti, LineaE076
padova piazzale boschetti, padova ospedale, LineaE076
padova ospedale, padova pontecorvo via facciolati, LineaE076
padova pontecorvo via facciolati, voltabarozzo, LineaE076
voltabarozzo, roncaglia, LineaE076
roncaglia, ponte san nicolo', LineaE076
ponte san nicolo', legnaro, LineaE076
legnaro, vigorovea, LineaE076
vigorovea, bv. brugine, LineaE076
bv. brugine, piove di sacco autostazione, LineaE076
piove di sacco autostazione, corte di piove di sacco, LineaE076
corte di piove di sacco, rosara, LineaE076
rovigo, boara pisani, LineaE046_1
boara pisani, stanghella via d'acquisto, LineaE046_1
stanghella via d'acquisto, san maria d'adige, LineaE046_1
san maria d'adige, barbona chiesa, LineaE046_1
barbona chiesa, vescovana chiesa, LineaE046_1
vescovana chiesa, granze, LineaE046_1
granze, bv granze, LineaE046_1
bv granze, finale, LineaE046_1
finale, villa estense interna, LineaE046_1
villa estense interna, deserto d'este, LineaE046_1
deserto d'este, este, LineaE046_1
padova autostazione, padova fiera, LineaE037
padova fiera, padova fiat, LineaE037
padova fiat, padova stanga via venezia, LineaE037
padova stanga via venezia, padova centro giotto, LineaE037
padova centro giotto, ponte di brenta, LineaE037
ponte di brenta, busa di vigonza, LineaE037
busa di vigonza, peraga via giovanni xxiii, LineaE037
peraga via giovanni xxiii, vigonza via grandi, LineaE037
vigonza via grandi, vigonza chiesa, LineaE037
vigonza chiesa, barbariga, LineaE037
barbariga, pianiga, LineaE037
pianiga, caltana, LineaE037
caltana, villa lanza, LineaE037
villa lanza, bv. zianigo, LineaE037
bv. zianigo, mirano ospedale, LineaE037
